category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Simulation Games/KOEI TECMO Franchise,"15 Jan, 2020","KOEI TECMO GAMES CO., LTD.",ROMANCE OF THE THREE KINGDOMS XIV,win,None,Mixed,12146,"Turn-Based,Tactics,Wargame,Military,Immersive,Sim,Diplomacy,War,Character,Customization,Grand,Strategy,Turn-Based,Strategy,Strategy,Historical,3D,Alternate,History,Simulation,Tactical,Resource,Management,Singleplayer,Replay,Value,RPG,Turn-Based"
Casual Games,"3 Nov, 2023",SQRT3GameHouse,Delicious - Cooking and Romance,"win,mac",None,Mostly Positive,18,"Adventure,Casual,Strategy,Action-Adventure,Point,&,Click,Time,Management,2D,Cartoony,Comedy,Drama,Fantasy,Story,Rich,Narration,Tutorial,Singleplayer,Cooking"
Indie Games,"27 Oct, 2022",How's Your English,Loser's Romance,win,None,5 user reviews,5,"Roguelite,Visual,Novel,Casual,Conversation,Dating,Sim,Comedy,Romance,Hand-drawn,1990's,Nonlinear,Dynamic,Narration,Choices,Matter,2D,Indie,Multiple,Endings,Story,Rich,Singleplayer,Simulation,Time,Management,LGBTQ+"
Casual Games,"17 Feb, 2021",Graphium Studio,Jigsaw Pieces - Romance,win,None,Positive,27,"Free,to,Play,Clicker,Puzzle,Point,&,Click,Tabletop,Board,Game,Strategy,2D,Cute,Top-Down,Relaxing,Romance,Colorful,Realistic,Family,Friendly,Logic,Management,Nature,Adventure,Singleplayer"
RPG Games,2026,甜某工作室SweetSome,Taishō Romance Theater,"win,mac",None,,,"Visual,Novel,RPG,Story,Rich,Multiple,Endings,Emotional,LGBTQ+,Interactive,Fiction,Choose,Your,Own,Adventure,2D,Platformer,Clicker,Word,Game,Point,&,Click,Dating,Sim,Text-Based,Psychological,Horror,Adventure,2D,Singleplayer,Horror,Choices,Matter"
,"16 Oct, 2009",Awem Studio,Romance of Rome,win,None,Mixed,13,"Casual,Hidden,Object"
Casual Games/恋爱关系/Romance/Downloadable Content,"31 Dec, 2021",AFOG,恋爱关系/Romance - 夏季花火,win,"23,09zł",Very Positive,121,"Adventure,Casual,Simulation,Sexual,Content,Nudity,Hentai,NSFW,Visual,Novel,Interactive,Fiction"
Casual Games/恋爱关系/Romance/Downloadable Content,"25 Jun, 2022",ADOG,恋爱关系/Romance - Final,win,"23,09zł",Very Positive,110,"Casual,Simulation,Sexual,Content,Nudity"
Simulation Games,"25 Jan, 2025",LovelyInc LLC,Snowkissed Romance,"win,mac",None,Positive,35,"Casual,Dating,Sim,Cute,1990's,Otome,Romance,Cozy,Life,Sim,Choose,Your,Own,Adventure,Time,Management,Multiple,Endings,Character,Customization,Simulation,Choices,Matter,Anime,Conversation,Resource,Management,Dynamic,Narration,Visual,Novel,Text-Based"
Indie Games,"18 Nov, 2015",Dharker Studios,Highschool Romance,win,None,Very Positive,434,"Visual,Novel,Mature,Nudity,Anime,Romance,Indie,Sexual,Content,Casual,Dating,Sim,LGBTQ+,Multiple,Endings,Singleplayer,Story,Rich,Hentai,Comedy"
Strategy Games/HypeTrain Digital Franchise,"25 Mar, 2025",StunForge,Nordhold,"win,mac,linux","47,99zł",Very Positive,725,"Roguelite,Tower,Defense,City,Builder,Top-Down,Management,Strategy,3D,Casual,Procedural,Generation,Singleplayer,Medieval,PvE,Choices,Matter,Tactical,Resource,Management,Replay,Value,Indie,Turn-Based,Strategy,Roguelike,Base,Building"
Casual Games,"24 Sep, 2021",AFOG,恋爱关系/Romance,win,"23,09zł",Very Positive,2428,"Mature,Hentai,Nudity,NSFW,Visual,Novel,Interactive,Fiction,Simulation,Casual,Anime,Drama,Cute,Point,&,Click,Clicker,Sexual,Content,Cartoony,Linear,2D,Adventure,Colorful,Story,Rich"
Free To Play Games/Moonlit Works Franchise,"31 Aug, 2020",Moonlit Works,Without Romance,"win,mac,linux",None,Mostly Positive,174,"Casual,Visual,Novel,Adventure,Dating,Sim,Free,to,Play,Anime,2D,Indie,Cute,Romance,Drama,Hand-drawn,Text-Based,Singleplayer,Sexual,Content,Female,Protagonist"
Massively Multiplayer Games,"17 Jul, 2017",Sandbox Interactive GmbH,Albion Online,"win,mac,linux",None,Mostly Positive,81387,"Free,to,Play,MMORPG,Open,World,Massively,Multiplayer,Sandbox,RPG,Multiplayer,Crafting,Survival,PvP,Loot,PvE,Economy,Medieval,Co-op,Fantasy,Strategy,Action,Singleplayer,Difficult"
Adventure Games,"14 Feb, 2001",GameXP.com,Parkan: Iron Strategy,win,None,Positive,28,"Action,Simulation,Mechs,Strategy,RPG,RTS,Exploration,FPS,CRPG,3D,First-Person,Sci-fi,Robots,1990's,Atmospheric,Futuristic,Old,School,Combat,Story,Rich,PvE"
Strategy Games/Civilization Franchise Franchise,"20 Oct, 2016",Firaxis GamesAspyr (Mac)Aspyr (Linux),Sid Meier’s Civilization® VI,"win,mac,linux","25,79zł",Very Positive,251777,"Strategy,Turn-Based,Strategy,Multiplayer,Historical,Grand,Strategy,Singleplayer,Turn-Based,4X,War,City,Builder,Simulation,Tactical,Management,Building,Great,Soundtrack,Online,Co-Op,Moddable,Co-op,Hex,Grid,Atmospheric"
Strategy Games,"20 May, 2024",Lavapotion,Songs of Conquest,"win,mac","36,12zł",Very Positive,10131,"Local,Multiplayer,Turn-Based,Tactics,4X,Tactical,Turn-Based,Strategy,Turn-Based,Combat,Fantasy,Strategy,RPG,Strategy,Pixel,Graphics,Magic,Atmospheric,Lore-Rich,Retro,Story,Rich,Tactical,RPG,2.5D,Old,School,Controller,Co-op"
Simulation Games/tinyBuild Franchise,2025,All Parts Connected,ALL WILL FALL: Physics-Based Survival City Builder,win,None,,,"Simulation,Physics,Colony,Sim,Replay,Value,Base,Building,Sandbox,Management,Open,World,Survival,Craft,Survival,Strategy,Singleplayer,Automation,Building,Resource,Management,Post-apocalyptic,City,Builder,Atmospheric,Economy,Political,3D"
Strategy Games/Europa Universalis - Official Franchise,"13 Aug, 2013",Paradox Development StudioParadox Tinto,Europa Universalis IV,"win,mac,linux","936,40zł",Very Positive,89181,"Grand,Strategy,Strategy,Historical,Simulation,4X,Alternate,History,Military,Wargame,Diplomacy,Economy,Replay,Value,Sandbox,Political,Real-Time,with,Pause,Moddable,Nonlinear,Co-op,Singleplayer,Management,Multiplayer"
Casual Games,"19 Oct, 2016",Norn,Wild Romance,"win,mac,linux","121,57zł",Mixed,105,"Visual,Novel,Casual,Anime,Sexual,Content,Adventure,Romance,Nudity,Cute"
Free To Play Games,"9 Jul, 2024",Starry Studio,Once Human,win,None,Mostly Positive,124021,"Multiplayer,Free,to,Play,Open,World,Survival,Craft,Survival,Horror,Open,World,Co-op,Strategy,Simulation,Post-apocalyptic,Shooter,Base,Building,Online,Co-Op,Action,Singleplayer,Adventure,MMORPG,Character,Customization,Strategy,RPG,3D"
Free To Play Games/The Sims Franchise,"2 Sep, 2014",Maxis,The Sims™ 4,win,"207,55zł",Very Positive,166117,"Life,Sim,Character,Customization,Free,to,Play,Building,Romance,Simulation,Sandbox,Singleplayer,Dating,Sim,Relaxing,Casual,Realistic,Funny,Family,Friendly,Fantasy,Cute,Immersive,Sim,Adventure,Cartoony,Nudity"
Simulation Games,"31 Jan, 2025",Polymorph Games,Foundation,win,"104,99zł",Very Positive,18382,"City,Builder,Simulation,Medieval,Strategy,Sandbox,Resource,Management,Management,Relaxing,Atmospheric,Economy,Building,Indie,Singleplayer,Base,Building,Colony,Sim,Open,World,Survival,RTS,Choices,Matter,Early,Access"
Strategy Games/Talberon Games Franchise,2025,Talberon Games,Superstar Strategy,"win,linux",None,,,"Tactical,RPG,Turn-Based,Tactics,PvP,Strategy,RPG,Turn-Based,Strategy,JRPG,Tactical,Strategy,Retro,RPG,Pixel,Graphics,War,Fantasy,Grid-Based,Movement,2D,Turn-Based,Combat,Anime,Colorful,Swordplay,Cute"
Indie Games/Playstack Franchise,"20 Feb, 2024",LocalThunk,Balatro,"win,mac","125,98zł",Overwhelmingly Positive,112625,"Card,Game,Roguelike,Deckbuilder,Roguelike,Deckbuilding,Singleplayer,Strategy,Pixel,Graphics,Replay,Value,Turn-Based,Roguelite,Card,Battler,Casual,Choices,Matter,Difficult,2D,Turn-Based,Strategy,Relaxing,Arcade,Indie,Procedural,Generation"
Strategy Games,To be announced,Tensssion Games,Masked Strategy,"win,mac,linux",None,,,"Dark,Strategy,Singleplayer,Turn-Based,Strategy,Difficult,Indie,Psychological,Robots,Puzzle,Atmospheric,Choices,Matter,Point,&,Click,2D"
Strategy Games,"9 Oct, 2022",GC Studio,Strategy,win,None,Mixed,20,"Turn-Based,Strategy,Strategy,Card,Game,Roguelike,Horror,3D,Story,Rich,Singleplayer,Roguelite,Artificial,Intelligence,Drama,Futuristic,Multiplayer,Early,Access"
Simulation Games,"14 Aug, 2020",Wube Software LTD.,Factorio,"win,mac,linux",None,Overwhelmingly Positive,168784,"Automation,Base,Building,Resource,Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open,World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel,Graphics,City,Builder,Indie"
Strategy Games/Total War Official Franchise,"16 Feb, 2022",CREATIVE ASSEMBLYFeral Interactive,Total War: WARHAMMER III,"win,mac,linux","87,96zł",Mostly Positive,82269,"Strategy,Turn-Based,Strategy,Grand,Strategy,RTS,Fantasy,Real,Time,Tactics,War,Dark,Fantasy,Action,Tactical,Dwarf,Games,Workshop,Atmospheric,Multiplayer,Colorful,Co-op,PvP,Singleplayer,Warhammer,40K,Online,Co-Op"
Strategy Games,"31 Aug, 2018",Starni Games,Panzer Strategy,win,None,Mixed,432,"Board,Game,Turn-Based,Tactics,Education,Turn-Based,Difficult,Turn-Based,Strategy,Strategy,Historical,Tanks,Turn-Based,Combat,Realistic,Military,Tactical,World,War,II,Hex,Grid,War,Singleplayer,Indie,Replay,Value,Early,Access"
Indie Games/Klei Franchise/Don't Starve Together/Downloadable Content,"19 Dec, 2023",Klei Entertainment,Don't Starve Together: Starter Pack 2024,"win,mac,linux",None,Mostly Positive,14,"Survival,Open,World,Survival,Craft,Multiplayer,Co-op,Open,World,Adventure,Crafting,Online,Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival,Horror,Strategy,Horror,Singleplayer,Action,Roguelike"
Indie Games/Craft The World/Downloadable Content,"4 Jul, 2016",Dekovir Entertainment,Craft The World - Sisters in Arms,"win,mac","212,17zł",Very Positive,156,"Indie,Strategy,Simulation,RPG"
Indie Games/Craft The World/Downloadable Content,"16 Dec, 2024",Dekovir Entertainment,Craft The World - Wonderwood,"win,mac",None,Mixed,69,"Strategy,RPG,Indie,Simulation"
Indie Games/Klei Franchise/Don't Starve Together/Downloadable Content,"22 Dec, 2022",Klei Entertainment,Don't Starve Together: Starter Pack 2023,"win,mac,linux",None,Positive,44,"Adventure,Indie,Simulation,RPG,Strategy,Action"
Adventure Games/The Long Dark/Downloadable Content,"5 Dec, 2022",Hinterland Studio Inc.,The Long Dark: WINTERMUTE,"win,mac,linux","183,95zł",Mixed,900,"Simulation,Strategy,Adventure,Indie,Survival"
Indie Games/Klei Franchise/Don't Starve Together/Downloadable Content,"28 Mar, 2019",Klei Entertainment,Don't Starve Together: Wortox Deluxe Chest,"win,mac,linux","107,96zł",Very Positive,78,"Adventure,Indie,Simulation"
Animation & Modeling,"7 May, 2015",Alex Hanson-White,Crocotile 3D,"win,mac,linux",None,Very Positive,179,"Animation,&,Modeling,Design,&,Illustration,Pixel,Graphics,3D,Software,Level,Editor,Game,Development,Retro,Building,Indie,Character,Customization"
Simulation Games/Stormworks: Build and Rescue/Downloadable Content,"12 Oct, 2023",Geometa,Stormworks: Space,"win,mac","215,01zł",Mixed,812,"Simulation,Space,Sandbox,Building,Open,World,Multiplayer,Online,Co-Op,Exploration,Physics,Anime,Survival,Horror,Spaceships"
Indie Games,"31 Mar, 2023",Jan Malitschek,BETON BRUTAL,win,None,Overwhelmingly Positive,1124,"Precision,Platformer,3D,Platformer,Parkour,Atmospheric,Casual,Exploration,Platformer,Post-apocalyptic,Psychological,Horror,3D,Indie,Realistic,Difficult,Nature,Singleplayer,Horror,Linear,Physics,First-Person"
Action Games,"24 Jun, 2013",Hello Games,Joe Danger 2: The Movie,"win,mac,linux","5,39zł",Very Positive,76,"Racing,Indie,Action,Casual,Controller,Score,Attack,Local,Multiplayer,Platformer,Funny,Local,Co-Op,Arcade,Comedy"
Strategy Games,"20 May, 2000",Reality Pump Studios,Earth 2150 Trilogy,"win,mac,linux","99,17zł",Mostly Positive,419,"Strategy,RTS,Sci-fi,Classic,Space"
Indie Games/Super Meat Boy Franchise,"30 Nov, 2010",Team Meat,Super Meat Boy,"win,mac,linux","106,90zł",Very Positive,26539,"Precision,Platformer,Platformer,Difficult,Indie,2D,Platformer,Pixel,Graphics,2D,Singleplayer,Great,Soundtrack,Fast-Paced,Retro,Controller,Unforgiving,Gore,Action,Time,Attack,Funny,Comedy,Side,Scroller,Replay,Value"
Free To Play Games,"9 Nov, 2016",Wargaming Group Limited,World of Tanks Blitz,"win,mac",None,Mostly Positive,147381,"Tanks,Free,to,Play,Shooter,Action,FPS,Strategy,Multiplayer,Massively,Multiplayer,PvP,Real,Time,Tactics,World,War,II,Team-Based,War,Online,Co-Op,Competitive,Military,Singleplayer,Realistic,3D,Platformer,Vehicular,Combat"
Adventure Games/505 Games Official Franchise,"18 May, 2017",Keen Games GmbH,Portal Knights,win,"107,76zł",Very Positive,16308,"Adventure,Multiplayer,Sandbox,RPG,Building,Crafting,Survival,Co-op,Action,Exploration,Singleplayer,Fantasy,Voxel,Casual,Cute,Dungeon,Crawler,Early,Access,Third,Person,Local,Co-Op,Great,Soundtrack"
Simulation Games/Stormworks: Build and Rescue/Downloadable Content,"13 Oct, 2022",Geometa,Stormworks: Industrial Frontier,"win,mac","215,01zł",Mixed,504,"Simulation,Open,World,Sandbox"
Adventure Games/Klei Franchise/Don't Starve/Downloadable Content,"8 Nov, 2018",Klei Entertainment,Don't Starve: Hamlet,"win,mac,linux","136,79zł",Very Positive,1407,"Adventure,Indie,Simulation,Survival,Singleplayer,Multiplayer,Sandbox,Open,World,Difficult,Crafting,Exploration,Moddable"
Strategy Games,"8 Nov, 2023",Rocket Rat Games,Cobalt Core,win,"136,78zł",Overwhelmingly Positive,3194,"Roguelike,Deckbuilder,Card,Game,Strategy,Roguelike,Turn-Based,Strategy,Sci-fi,Pixel,Graphics,Turn-Based,Tactics,Tactical,RPG,Funny,Space,Logic,Tactical,Deckbuilding,Grid-Based,Movement,Combat,Singleplayer,PvE,Turn-Based,Combat,Story,Rich"
Action Games,"4 Sep, 2020",Pocketpair,Craftopia,win,"228,58zł",Mostly Positive,17002,"Open,World,Crafting,Survival,Multiplayer,Open,World,Survival,Craft,Sandbox,RPG,Building,Online,Co-Op,Action,Adventure,Early,Access,Co-op,Anime,Character,Customization,Indie,Automation,Hack,and,Slash,Singleplayer,Third,Person"
Indie Games/Klei Franchise/Don't Starve Together/Downloadable Content,"19 Dec, 2024",Klei Entertainment,Don't Starve Together: Starter Pack 2025,"win,mac,linux","136,79zł",Positive,10,"Survival,Open,World,Survival,Craft,Multiplayer,Co-op,Open,World,Adventure,Crafting,Online,Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival,Horror,Strategy,Horror,Singleplayer,Action,Roguelike"
Adventure Games,"10 Jun, 2021",Wishes Ultd.Greg LobanovAlexis Dean-JonesLena RaineMadeline BergerA Shell in the Pit,Chicory: A Colorful Tale,"win,mac","640,72zł",Overwhelmingly Positive,2855,"Indie,Adventure,RPG,Cute,Great,Soundtrack,Colorful,Emotional,Story,Rich,Puzzle,Relaxing,Local,Co-Op,Funny,Singleplayer,2D,LGBTQ+,Metroidvania,Co-op,Casual,Family,Friendly,Psychological,Horror"
Adventure Games/Klei Franchise/Don't Starve/Downloadable Content,"1 Dec, 2015",Klei EntertainmentCapybara Games,Don't Starve: Shipwrecked,"win,mac,linux","136,79zł",Overwhelmingly Positive,3040,"Adventure,Survival,Indie,Simulation,Open,World,Multiplayer,Singleplayer,Exploration,Crafting,Difficult,Sandbox,Strategy,Pirates,Co-op,Action,Funny,Roguelike,2D,Great,Soundtrack"
Adventure Games/Klei Franchise/Don't Starve/Downloadable Content,"30 Apr, 2014",Klei Entertainment,Don't Starve: Reign of Giants,"win,mac,linux","136,79zł",Overwhelmingly Positive,1493,"Survival,Indie,Adventure,Simulation,Crafting,Sandbox,Singleplayer,Open,World,Multiplayer,Roguelike,Difficult,Moddable,Horror,Atmospheric,Perma,Death,2D,Early,Access,Addictive,Great,Soundtrack"
Simulation Games/Stormworks: Build and Rescue/Downloadable Content,"5 Oct, 2021",Geometa,Stormworks: Search and Destroy,"win,mac","215,01zł",Very Positive,1146,"Simulation,Strategy,War,Sandbox,Action,Multiplayer,Building,Naval,Shooter"
Strategy Games,"24 Nov, 2014",Dekovir Entertainment,Craft The World,"win,mac","212,17zł",Very Positive,13992,"Crafting,Colony,Sim,Dwarf,Building,Sandbox,Survival,Open,World,Strategy,Indie,Simulation,City,Builder,RPG,2D,Multiplayer,Singleplayer,Resource,Management,Fantasy,Adventure,God,Game,Tower,Defense"
Action Games,"22 Sep, 2021",Mojang Studios‪Double Eleven,Minecraft Dungeons,win,None,Very Positive,12262,"Dungeon,Crawler,Hack,and,Slash,Adventure,Action,RPG,Action,RPG,Action-Adventure,Exploration,Top-Down,Loot,Isometric,Arcade,Colorful,Voxel,Fantasy,Cute,Family,Friendly,Atmospheric,Funny,Magic"
Adventure Games/The Long Dark/Downloadable Content,"5 Dec, 2022",Hinterland Studio Inc.,The Long Dark: Tales from the Far Territory,"win,mac,linux","183,95zł",Mostly Positive,1521,"Adventure,Indie,Simulation,Strategy,Survival,Atmospheric"
Simulation Games,"27 Mar, 2025",inZOI Studio,inZOI,win,None,Very Positive,10842,"Early,Access,Life,Sim,Character,Customization,Simulation,Realistic,Building,Singleplayer,Sexual,Content,Romance,Sandbox,Immersive,Sim,Dating,Sim,City,Builder,Cats,Modern,Moddable,Relaxing,Casual,Family,Friendly,Cute"
Indie Games/Dharker Studios Franchise/Roomie Romance/Downloadable Content,"13 Sep, 2019",Dharker Studios,Roomie Romance - Soundtrack,win,None,,,"Adventure,Indie,Casual"
Casual Games,To be announced,Pocketpair,Pal♡world! ~More Than Just Pals~,win,None,,,"Dating,Sim,Visual,Novel,Creature,Collector,Choose,Your,Own,Adventure,Adventure,Romance,2D,Cute,Horror,Funny,Multiple,Endings,Casual,Story,Rich,Choices,Matter,Simulation,Anime,Fantasy,Comedy,Drama,Emotional"
Action Games/Rainbow 6 Franchise Franchise,"1 Dec, 2015",Ubisoft Montreal,Tom Clancy's Rainbow Six® Siege,win,"323,46zł",Very Positive,1175544,"FPS,PvP,eSports,Multiplayer,Tactical,Shooter,Competitive,Online,Co-Op,Action,Hero,Shooter,Team-Based,Military,Strategy,First-Person,Co-op,War,Realistic,Destruction,Difficult,3D"
Free To Play Games,"5 Dec, 2024",NetEase Games,Marvel Rivals,win,None,Very Positive,254933,"Free,to,Play,Multiplayer,Hero,Shooter,Third-Person,Shooter,Superhero,PvP,Action,Team-Based,Competitive,Shooter,3D,Strategy,Co-op,Online,Co-Op,Sci-fi,Third,Person,Sexual,Content,MOBA,FPS,Cyberpunk"
RPG Games,"13 Oct, 2022",Square EnixARTDINK,TRIANGLE STRATEGY,win,None,Very Positive,2482,"Turn-Based,Tactics,Strategy,RPG,RPG,JRPG,Strategy,Politics,Pixel,Graphics,War,Grid-Based,Movement,Simulation,2D,Tactical,Tabletop,Story,Rich,Singleplayer,Turn-Based,Combat,Tactical,RPG,Choices,Matter,Cats,Visual,Novel"
Action Games,"24 Mar, 2025",TVGS,Schedule I,win,"78,19zł",Overwhelmingly Positive,31012,"Co-op,Simulation,Crime,Open,World,Multiplayer,Management,Action,First-Person,Building,Stealth,Base,Building,Automation,FPS,Crafting,Strategy,Driving,Shooter,Action-Adventure,Character,Customization,Early,Access"
Free To Play Games,"21 Aug, 2012",Valve,Counter-Strike 2,"win,linux","520,04zł",Very Positive,8684888,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online,Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable"
Simulation Games/Cities: Skylines - Official Franchise,"10 Mar, 2015",Colossal Order Ltd.,Cities: Skylines,"win,mac,linux","13,89zł",Very Positive,204131,"City,Builder,Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Moddable,Economy,Resource,Management,Mod,Realistic,Replay,Value,Casual,Modern,Real-Time,with,Pause,Family,Friendly,Great,Soundtrack,Funny,Action"
Strategy Games/Paradox Interactive - Official Franchise,"9 May, 2016",Paradox Development Studio,Stellaris,"win,mac,linux","46,24zł",Very Positive,124183,"Space,Grand,Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Singleplayer,Real-Time,with,Pause,Moddable,Management,Diplomacy,Futuristic,Military,Replay,Value,Great,Soundtrack,Procedural,Generation,Atmospheric"
